mch_0,q_0,e_q,p_bns,p_bhns,p_bbh,p_gap,p_ns
0.500000,0.780000,1.50000,0.922848,0.0219604,0.00000,0.0551879,0.999999
0.500000,0.780000,1.75000,0.888977,0.0420752,0.00000,0.0689447,0.999999
0.500000,0.780000,2.00000,0.857359,0.0653615,0.00000,0.0772764,0.999998
0.500000,0.780000,2.25000,0.828904,0.0895760,0.00000,0.0815172,0.999998
0.500000,0.780000,2.50000,0.803691,0.113318,0.00000,0.0829840,0.999994
0.500000,0.780000,2.75000,0.781465,0.135830,0.00000,0.0826720,0.999969
0.500000,0.780000,3.00000,0.761858,0.156743,0.00000,0.0812654,0.999868
0.500000,0.780000,3.25000,0.744472,0.175898,0.00000,0.0792157,0.999588
0.500000,0.780000,3.50000,0.728916,0.193236,0.00000,0.0768144,0.998968
0.500000,0.780000,3.75000,0.714822,0.208745,0.00000,0.0742476,0.997817
0.500000,0.780000,4.00000,0.701860,0.222447,0.00000,0.0716329,0.995942
0.500000,0.640000,1.00000,0.988569,0.000784706,0.00000,0.0106442,0.999999
0.500000,0.640000,1.25000,0.965704,0.00570975,0.00000,0.0285844,1.00000
0.500000,0.640000,1.50000,0.935466,0.0175084,0.00000,0.0470214,0.999999
0.500000,0.640000,1.75000,0.903385,0.0353745,0.00000,0.0612371,0.999998
0.500000,0.640000,2.00000,0.872545,0.0569105,0.00000,0.0705392,0.999999
0.500000,0.640000,2.25000,0.844244,0.0799233,0.00000,0.0758297,0.999998
0.500000,0.640000,2.50000,0.818820,0.102925,0.00000,0.0782508,0.999995
0.500000,0.640000,2.75000,0.796179,0.125043,0.00000,0.0787482,0.999971
0.500000,0.640000,3.00000,0.776050,0.145815,0.00000,0.0780075,0.999874
0.500000,0.640000,3.25000,0.758091,0.165011,0.00000,0.0764987,0.999603
0.500000,0.640000,3.50000,0.741937,0.182522,0.00000,0.0745353,0.998996
0.500000,0.640000,3.75000,0.727236,0.198303,0.00000,0.0723236,0.997863
0.500000,0.640000,4.00000,0.713661,0.212348,0.00000,0.0699978,0.996009
0.500000,0.500000,1.00000,0.992145,0.000480886,0.00000,0.00737159,0.999999
0.500000,0.500000,1.25000,0.973384,0.00412621,0.00000,0.0224876,0.999999
0.500000,0.500000,1.50000,0.946420,0.0138511,0.00000,0.0397254,0.999999
0.500000,0.500000,1.75000,0.916370,0.0295752,0.00000,0.0540515,0.999999
0.500000,0.500000,2.00000,0.886571,0.0493446,0.00000,0.0640797,0.999999
0.500000,0.500000,2.25000,0.858648,0.0710787,0.00000,0.0702700,0.999998
0.500000,0.500000,2.50000,0.833192,0.0932414,0.00000,0.0735591,0.999995
0.500000,0.500000,2.75000,0.810282,0.114869,0.00000,0.0748183,0.999972
0.500000,0.500000,3.00000,0.789744,0.135411,0.00000,0.0747185,0.999877
0.500000,0.500000,3.25000,0.771300,0.154568,0.00000,0.0737387,0.999607
0.500000,0.500000,3.50000,0.754612,0.172182,0.00000,0.0722088,0.999005
0.500000,0.500000,3.75000,0.739352,0.188172,0.00000,0.0703517,0.997878
0.500000,0.500000,4.00000,0.725205,0.202508,0.00000,0.0683167,0.996032
0.500000,0.360000,1.00000,0.994698,0.000289333,0.00000,0.00501092,0.999999
