,mch_0,q_0,e_q,p_bns,p_bhns,p_gap,p_bbh,p_ns
363,0.5,0.21999999999999975,4.0,1.0,0.0,0.0,0.0,1.0
364,0.5,0.07999999999999963,1.0,1.0,0.0,0.0,0.0,1.0
365,0.5,0.07999999999999963,1.25,1.0,0.0,0.0,0.0,1.0
366,0.5,0.07999999999999963,1.5,1.0,0.0,0.0,0.0,1.0
367,0.5,0.07999999999999963,1.75,1.0,0.0,0.0,0.0,1.0
368,0.5,0.07999999999999963,2.0,1.0,0.0,0.0,0.0,1.0
369,0.5,0.07999999999999963,2.25,1.0,0.0,0.0,0.0,1.0
370,0.5,0.07999999999999963,2.5,1.0,0.0,0.0,0.0,1.0
371,0.5,0.07999999999999963,2.75,1.0,0.0,0.0,0.0,1.0
372,0.5,0.07999999999999963,3.0,1.0,0.0,0.0,0.0,1.0
